Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7
0.42434078,0.0020875821,0.0020872897,0.0020867242,0.48994997,0.002088724,0.0020863214,0.07527262
0.0062618665,0.3246045,0.36488387,0.006266149,0.27918884,0.006264255,0.0062736543,0.0062568816
0.05798608,0.003912976,0.21817769,0.3482273,0.23535813,0.0039110426,0.003911068,0.12851575
0.002983161,0.090749905,0.002980321,0.0029809962,0.26527658,0.002981571,0.002977823,0.6290696
0.0020876168,0.3052254,0.002087145,0.59216326,0.0020875735,0.09217504,0.002086165,0.0020878094
0.020842234,0.0208568,0.020875236,0.020842502,0.020849906,0.020872744,0.32148078,0.55337983
0.5598822,0.007367328,0.10801007,0.0073619955,0.29529035,0.007358434,0.0073632044,0.007366457
0.0029801785,0.0029807684,0.0029817026,0.11617337,0.7046516,0.0029816774,0.16426773,0.0029829815
0.015672278,0.015649665,0.015651522,0.01567098,0.89035475,0.015649093,0.015664527,0.01568717
0.031252813,0.031258676,0.031268068,0.031250723,0.031251125,0.031300433,0.7811495,0.03126867
0.2580875,0.18826349,0.24460927,0.007844187,0.007844978,0.00782252,0.007829724,0.27769837
0.056468926,0.0023217017,0.002323493,0.6461874,0.28574133,0.0023172975,0.0023195986,0.0023201788
0.017861273,0.017888768,0.23636325,0.4298564,0.017862597,0.244414,0.017875722,0.01787797
0.011393782,0.011407676,0.011385743,0.01137692,0.011389161,0.21185836,0.011421275,0.7197671
0.0036810227,0.0036819743,0.0036828509,0.0036804655,0.6104783,0.080146685,0.0036805945,0.29096815
0.3962012,0.0019565022,0.001956052,0.21153674,0.23147625,0.03710048,0.001956235,0.11781657
0.34504402,0.031259008,0.031259015,0.03128004,0.46726063,0.03125901,0.03134383,0.03129445
0.002320841,0.0023198829,0.0023175206,0.002320378,0.98376095,0.0023177366,0.002318975,0.002323671
0.025034612,0.025014818,0.82483506,0.025010275,0.025024066,0.025059814,0.025001021,0.025020316
0.017871128,0.017866012,0.01787699,0.017862925,0.17284064,0.017885687,0.01785899,0.7199376
0.0069487295,0.006958944,0.00695795,0.006960194,0.57819724,0.0069630737,0.006954181,0.38005966
0.0015664361,0.051750425,0.061365686,0.23025633,0.1960524,0.0015645664,0.0015633454,0.45588076
0.004039669,0.004034954,0.0040338044,0.36046225,0.46195593,0.0040422548,0.15739053,0.004040595
0.35358235,0.0052283704,0.0052173454,0.6150868,0.0052228947,0.005212427,0.0052266363,0.0052231327
0.041676115,0.04167611,0.37501627,0.04167611,0.3747146,0.041753594,0.04167613,0.041811068
0.00835368,0.008344554,0.15584008,0.7940648,0.008348437,0.008348898,0.008353084,0.008346437
0.012505467,0.012506088,0.012502629,0.2772923,0.33727863,0.012508079,0.32290465,0.012502162
0.013899367,0.013924867,0.22628358,0.4029315,0.013907701,0.013891561,0.3012603,0.013901108
0.03125263,0.031257372,0.03125385,0.031265594,0.531032,0.2814306,0.031252623,0.031255305
0.103461035,0.0029122762,0.046384696,0.70866877,0.0029130813,0.0029131167,0.0029128054,0.12983419
0.0022788888,0.0022748255,0.0022740234,0.2505038,0.63475454,0.0022734257,0.10336685,0.0022736196
0.52691376,0.017864687,0.017915273,0.17341936,0.21019924,0.017905924,0.017865786,0.017915946
0.0032984924,0.0032976812,0.0032931583,0.0032932367,0.6776263,0.0033077027,0.003291686,0.30259177
0.0026640908,0.47275648,0.0026638121,0.19838215,0.0026656066,0.0026631823,0.0026618445,0.31554288
0.18621226,0.49862516,0.020838713,0.020879019,0.020878889,0.020838717,0.21086419,0.020863058
0.003211577,0.003210929,0.0032169828,0.25425404,0.6932203,0.0032066104,0.036464524,0.0032149942
0.07951022,0.0083552115,0.18556683,0.008341806,0.008339668,0.6931965,0.008336218,0.008353567
0.013921564,0.5572836,0.0138971675,0.01389651,0.01389785,0.35928255,0.013903472,0.013917368
0.00736302,0.0073608267,0.14010048,0.007367197,0.6050554,0.0073559782,0.21803977,0.007357367
0.011390619,0.0113841435,0.11034218,0.011374875,0.82138336,0.011366192,0.011389785,0.011368867
0.01786087,0.01787386,0.017861618,0.874933,0.01787352,0.017861804,0.01787199,0.0178633
0.0062520425,0.0062602945,0.31397223,0.57011425,0.006259983,0.084625445,0.0062549207,0.0062608505
0.008355894,0.14204168,0.008335118,0.41409156,0.4021528,0.008338775,0.00833813,0.008346003
0.006581356,0.006585304,0.0065795276,0.33223003,0.6282772,0.006579467,0.0065828585,0.0065842615
0.005692413,0.0056885276,0.0056867683,0.48851618,0.262322,0.0056840884,0.22072548,0.0056845383
0.0062577166,0.006265117,0.006256029,0.0062665497,0.8165593,0.006256088,0.14588098,0.00625819
0.025026226,0.025005609,0.02500207,0.29983,0.025024585,0.025002813,0.5501039,0.025004836
0.009623351,0.009624009,0.00962893,0.5698347,0.009644172,0.37238723,0.009621005,0.009636626
0.02088963,0.020837938,0.020836722,0.35993335,0.5149911,0.020836322,0.020836307,0.020838603
0.13557918,0.0050074714,0.005007175,0.005009975,0.33389565,0.005007512,0.0050024036,0.50549066
0.43092322,0.007370569,0.00735724,0.42348987,0.0073637674,0.007369106,0.10876089,0.0073653623
0.17786013,0.005006851,0.0050046416,0.005011211,0.7921022,0.0050072894,0.005001577,0.0050060605
0.9270155,0.010426292,0.010419687,0.010432113,0.010441925,0.010423202,0.010419435,0.010421888
0.14682758,0.0069530765,0.0069463444,0.0069567715,0.8114652,0.006948795,0.006947905,0.0069543594
0.0312672,0.031284843,0.031283833,0.031269945,0.03126319,0.35056502,0.031295218,0.46177074
0.0059639574,0.25204462,0.005957739,0.005966944,0.71215683,0.005976183,0.005954894,0.0059788576
0.15917805,0.0031322874,0.13304508,0.15067878,0.14260289,0.003129308,0.0031318753,0.40510175
0.01391319,0.013907025,0.18483016,0.013916255,0.7316881,0.013928889,0.013894916,0.013921529
