rating,review_length_text,review_length_title,polarity_text,polarity_title,subjectivity_text,subjectivity_title,lemmatized_text,lemmatized_title,day_of_week,month,year
1,408,2,0.0184482758620689,-1.0,0.5122413793103449,1.0,"['travel', 'travel', 'often', 'last', 'week', 'fly', 'texas', 'usa', 'algier', 'return', 'first', 'trip', 'purchase', 'luggage', 'luggage', 'week', 'be', 'show', 'ticket', 'customer', 'yeah', 'confirmation', 'paypal', 'also', 'confirmation', 'bank', 'statement', 'full', 'payment', 'luggage', 'fix', 'issue', 'finally', 'day', 'finally', 'ticket', 'additional', 'screening', 'weigh', 'carryon', 'bag', 'include', 'backpack', 'carryon', 'luggage', 'kg', 'either', 'bag', 'carryon', 'luggage', 'bag', 'throw', 'away', 'clothe', 'end', 'throw', 'away', 'clothe', 'extra', 'lay', 'around', 'spare', 'luggage', 'type', 'insanity', 'weigh', 'carryon', 'bag', 'include', 'purse', 'backpack', 'personal', 'item', 'personal', 'item', 'also', 'front', 'rude', 'except', 'rude', 'help', 'helpful', 'information', 'leak', 'condensation', 'top', 'happen', 'destination', 'review', 's', 'post', 'past', 'year', 'experience', 'travel', 'employee', 'customer', 'fly', 'force', 'people', 'travel', 'advice', 'travel', 'often', 'people', 'fly']","['bad', 'airline']",Wednesday,11,2024
1,157,4,-0.0608974358974358,-1.0,0.592948717948718,1.0,"['review', 'regard', 'economy', 'flex', 'choose', 'seat', 'though', 'skypriority', 'stay', 'inline', 'around', 'hour', 'overly', 'vague', 'information', 'regard', 'delay', 'end', 'seat', 'relocate', 'halal', 'meal', 'extremely', 'bland', 'be', 'juicesoft', 'drink', 'accompany', 'meal', 'compare', 'other', 'specify', 'halal', 'meal', 'also', 'overly', 'rude', 'daughter', 'compare', 'wear', 'hijab', 'completely', 'unbearable', 'overall', 'experience', 'unforgettable', 'negative', 'sense', 'unfortunately', 'I', 'd', 'board', 'logo', 'life']","['terrible', 'experience', 'airfrance']",Wednesday,11,2024
1,259,11,-0.0941628264208909,-0.6,0.4882872503840245,0.7,"['recently', 'fly', 'hong', 'kong', 'nov', 'th', 'deeply', 'disappointed', 'provide', 'experience', 'mark', 'series', 'issue', 'leave', 'feel', 'frustrated', 'disrespected', 'sky', 'priority', 'hong', 'kong', 'despite', 'sky', 'priority', 'hong', 'kong', 'unreasonable', 'amount', 'clear', 'explanation', 'especially', 'frustrating', 'expedite', 'lastminute', 'seat', 'change', 'addition', 'delay', 'seat', 'change', 'last', 'minute', 'lack', 'communication', 'handle', 'seat', 'arrangement', 'add', 'unnecessary', 'stress', 'journey', 'discriminatory', 'treatment', 'group', 'experience', 'feel', 'discriminatory', 'treatment', 'simply', 'muslim', 'feel', 'uncomfortable', 'unwelcome', 'completely', 'unacceptable', 'halal', 'meal', 'quality', 'lastly', 'halal', 'meal', 'provide', 'subpar', 'nowhere', 'near', 'quality', 'meal', 'meal', 'poorly', 'prepare', 'also', 'feel', 'afterthought', 'customer', 'attention', 'care', 'other', 'board', 'experience', 'incredibly', 'disappointing', 'reputable', 'hope', 'feedback', 'seriously', 'endure', 'treatment', 'certainly', 'reconsider', 'choice', 'future']","['extremely', 'disappointing', 'experience', 'air', 'france', 'flight', 'af', 'hkg', 'cdg']",Tuesday,11,2024
1,274,1,-0.1093727453102453,-1.0,0.4940115440115439,1.0,"['wow', 'experience', 'I', 've', 'fly', 'porter', 'shock', 'comparison', 'first', 'print', 'pass', 'computer', 'porter', 'send', 'digital', 'copy', 'computer', 'busy', 'irritable', 'fly', 'economy', 're', 'squish', 'row', 'people', 'seat', 'tight', 'uncomfortable', 'ever', 'eat', 'tasteless', 'food', 'stomach', 'hurt', 'hour', 'agonizing', 'pain', 'bathroom', 'bang', 'door', 's', 'turbulence', 'seat', 'rather', 'throw', 'seat', 'mention', 'multiple', 'multiple', 'be', 'feel', 'anything', 'help', 'second', 'chamomile', 'tea', 'second', 'around', 'male', 'black', 'tea', 'since', 'chamomile', 'sooth', 'stomach', 'empty', 'cup', 'tea', 'bag', 'hot', 'water', 'yell', 'omg', 'storm', 'wtf', 'job', 'literally', 'bring', 'nerve', 'yell', 'fly', 'food', 'extremely', 'uncomfortable', 'also', 'french', 'bother', 'translate', 'english', 'though', 'toronto', 'east', 'asian']",['horrible'],Monday,11,2024
1,311,7,-0.1264764996907854,-1.0,0.485191713048856,1.0,"['spend', 'day', 'vacation', 'hong', 'kong', 'family', 'return', 'ruin', 'experience', 'arrive', 'checkin', 'counter', 'hour', 'receive', 'pass', 'hour', 'inform', 'preselecte', 'seat', 'change', 'due', 'assure', 'seat', 'extra', 'legroom', 'though', 'seat', 'lack', 'screen', 'since', 'option', 'reluctantly', 'accept', 'board', 'discover', 'original', 'seat', 'sell', 'passengerseven', 'though', 'month', 'seat', 'far', 'upgrade', 'actually', 'intend', 'screen', 'usb', 'port', 'awkwardly', 'position', 'middle', 'aislenot', 'ideal', 'hour', 'awkward', 'placement', 'frequently', 'step', 'foot', 'whenever', 'pass', 'restroom', 'sick', 'sit', 'next', 'end', 'sick', 'raise', 'issue', 'mention', 'sky', 'priority', 'select', 'seat', 'sleeping', 'dismiss', 'concern', 'refund', 'walk', 'away', 'speak', 'bump', 'knee', 'drink', 'cart', 'multiple', 'step', 'foot', 'apologize', 'food', 'also', 'hardly', 'anyone', 'around', 'finish', 'half', 'overall', 'literally', 'experience', 'I', 've', 'ever', 'recommend', 'lack', 'professionalism', 'seating', 'arrangement', 'dismissive', 'treatment', 'leave', 'deeply', 'disappointed']","['bad', 'flight', 'experience', 'I', 've', 'ever']",Monday,11,2024
3,82,4,-0.1292929292929292,0.4,0.5468013468013468,0.7,"['travel', 'delhi', 'really', 'dissappinte', 'economy', 'really', 'food', 'uncortable', 'seat', 'feel', 'fly', 'cost', 'company', 'destination', 'really', 'cheap', 'receive', 'water', 'personel', 'unpolite', 'rude', 'indian', 'client', 'compare', 'company', 'experience', 'far']","['really', 'cheap', 'flight', 'experience']",Sunday,11,2024
2,65,9,0.0436507936507936,0.0,0.2998015873015873,0.0,"['carryon', 'luggagepersonal', 'item', 'total', 'weight', 'lbs', 'weigh', 'carry', 'prior', 'also', 'strict', 'size', 'carryon', 'bag', 'carryon', 'large', 'mistake', 'euros', 'carryon', 'large']","['mindful', 'carryon', 'baggage', 'weight', 'size']",Sunday,11,2024
1,235,11,-0.0074548001018589,-1.0,0.2898332060096766,1.0,"['recently', 'highly', 'disappointing', 'experience', 'feel', 'compelled', 'share', 'international', 'trip', 'thirdparty', 'site', 'eticket', 'booking', 'reference', 'issue', 'itinerary', 'include', 'leg', 'kunming', 'shanghai', 'operate', 'china', 'eastern', 'afmu', 'shanghai', 'york', 'despite', 'single', 'ticket', 'twice', 'baggage', 'first', 'leg', 'secondthird', 'leg', 'understand', 'ticket', 'zero', 'baggage', 'allowance', 'twice', 'baggage', 'international', 'itinerary', 'contact', 'multiple', 'refund', 'customer', 'unhelpful', 'insist', 'contact', 'china', 'eastern', 'first', 'leg', 'though', 'ticket', 'carrier', 'unacceptable', 'responsibility', 'resolve', 'issue', 'involve', 'partner', 'pass', 'burden', 'onto', 'customer', 'also', 'file', 'complaint', 'us', 'department', 'transportation', 'date', 'I', 've', 'receive', 'resolution', 'either', 'party', 'experience', 'leave', 'frustrated', 'significantly', 'pocket', 'value', 'clear', 'policy', 'responsive', 'customer', 'strongly', 'recommend', 'avoid', 'lack', 'accountability', 'nightmare', 'deal', 'will']","['terrible', 'customer', 'service', 'duplicate', 'baggage', 'charge', 'avoid', 'air', 'france']",Friday,11,2024
2,71,1,-0.07,0.0,0.4599999999999999,0.0,"['research', 'week', 'feel', 'carrier', 'premium', 'economy', 'ahead', 'month', 'story', 'month', 'move', 'around', 'lose', 'extras', 'anyway', 'happen', 'experience', 'miserable', 'recommend']",['nightmare'],Thursday,11,2024
1,38,9,0.075,-0.1666666666666666,0.375,0.1666666666666666,"['food', 'year', 'collect', 'garbage', 'start', 'leave', 'pile', 'saw', 'leave', 'pile']","['air', 'france', 'remember', 'previous', 'year']",Thursday,11,2024
5,111,2,0.3285185185185185,0.7333333333333333,0.6059259259259259,0.9666666666666668,"['hop', 'however', 'member', 'move', 'row', 'row', 'significantly', 'leg', 'room', 'friendly', 'food', 'present', 'however', 'really', 'lounge', 'breakfast', 'far', 'superior', 'fill', 'champagne', 'crack', 'salmon', 'enjoy', 'lucky', 'superb', 'pilot', 'extreme', 'cross', 'wind', 'approach', 'dublin', 'smoothly', 'cancel', 'divert', 'day', 'fly', 'guy']","['pleasantly', 'supervise']",Thursday,11,2024
