"rating","title","text","publishedDate"
"1","WORST AIRLINE","I travel a lot - and I travel often. Last week I flew from Texas USA to Paris to Algiers - and then back the same way for the return flight. First before my trip I purchased luggage checked luggage and then after 2 weeks I saw that it wasn't showing on my ticket. So I call customer service and they said yeah we don't see it here. I told them okay. I have the confirmation from PayPal and also I have confirmation on my bank statement that they took out the full payment for the luggage and still they wouldn't fix the issue. Finally 3 days before my flight I had to call again and they finally put it on my ticket that I had paid for it. Then at the airport they give me many additional security screenings and at the Paris airport they weigh your carry-on bags that includes the backpack I had and my small carry-on luggage which has to be under 12 kg. Mine was 14 so I either had to pay $400 to check the bag. The small carry-on luggage bag or throw away all my clothes so I ended up having to throw away all my clothes because I don't have an extra $400 laying around to spare for a small luggage. No other airline or airport has this type of insanity where they weigh your carry-on bags, including your purse or your backpack and your personal item on the plane. Only Air France does this and only the Paris airport. Does this no other airline ways even your personal items and then tries to charge you $400 to check it. Also the Air front staff is always rude except for the staff on the plane like the flight attendants. But the in airport staffs and any airport are always very rude and they don't like to help be helpful or give information. All the Air France flights leak condensation from the top. This happened on all Air France planes to and from my destination. Go look at the reviews for Air France and you will see that everyone that's posted in the past years had a terrible experience with Air France, planes, travel and employees and customer service. I will never fly Air Force again and many people come to me for travel advice because I travel very often and I will always tell people never to fly Air France.","2024-11-13"
"1","Terrible experience with Airfrance","This review is regarding flight AF185, we booked an Economy Flex flight just so we can choose our own seats in the flight, but even though we’re SkyPriority, we stayed inline for around 2 hours with overly vague information regarding that delay only for them in the end to get back to us and say that our seats were relocated to worse ones.

The halal meal that was given to us was extremely bland, and we weren’t even offered any juice/soft drink to accompany the meal compared to others that didn’t specify they wanted a halal meal.

The staff were also overly rude to both me and my daughter compared to other passengers for some reason (could be because we were wearing a hijab) which was completely unbearable.

Overall, my experience with Airfrance was definitely an unforgettable one but in a negative sense unfortunately and I’d never board any plane with their logo in my life again","2024-11-13"
"1","Extremely Disappointing Experience with Air France (Flight #AF185, HKG to CDG)","I recently flew with Air France on flight #185 from Hong Kong to Paris (Nov 10th, 2024), and I am deeply disappointed with the service provided. My experience was marked by a series of issues that left me feeling frustrated and disrespected.

Sky Priority Service at Hong Kong Airport
Despite paying for Sky Priority, the staff at Hong Kong airport made us wait for an unreasonable amount of time without any clear explanation. This was especially frustrating as we had expected expedited service.
Last-Minute Seat Change
In addition to the delays, my seat was changed at the last minute, and it was given to another passenger. This lack of communication and poor handling of seating arrangements added unnecessary stress to the journey.
Discriminatory Treatment on the Plane
During the flight, my group and I experienced what felt like discriminatory treatment, simply because we are Muslims. We were made to feel uncomfortable and unwelcome, which is completely unacceptable.
Halal Meal Quality
Lastly, the halal meal provided was subpar. It was nowhere near the quality of the meals given to other passengers. The meal was not only poorly prepared but also felt like an afterthought. As a paying customer, I expected the same level of attention and care as others on board.
This experience with Air France was incredibly disappointing, and I expect better service from such a reputable airline. I hope this feedback is taken seriously so that other passengers do not have to endure the same treatment. I will certainly be reconsidering my choice of airline for future flights.","2024-11-12"
"1","Horrible","Wow!!! What a horrible experience!! I've always flown with Porter and was shocked at how bad Air France is in comparison.

First they have you check in by printing your own boarding pass on a computer, when porter sends you a digital copy. The problem is the computer doesn't even work, so you have to see an attendant (who is busy and irritable).

Then if flying economy, you're squished in a row of 3 to 4 people, the seats are tight and it was the most uncomfortable flight ever.

After eating the tasteless food, my stomach hurt for hours. I was in agonizing pain. When I went to the bathroom one of the flight attendants banged on my door telling me there's turbulence and I need to go back to my seat. So would you rather I throw up all over my seat?? 

I mentioned multiple times to multiple attendants I wasn't feeling good, no one did anything to help.

I asked for a second chamomile tea the second time they came around. The male flight attendant said only have black tea. Since I needed chamomile to sooth my stomach, I gave him my empty cup with the tea bag and asked him for hot water. He yelled out, OMG!! and stormed off. Wtf?? Your job is literally to bring that out and you have the nerve to yell out?? 

I will Never fly with Air France again. Bad food. Bad service. Extremely uncomfortable. Also, everything is in FRENCH and they don't even bother to translate to ENGLISH!! Even though I took the flight from Toronto and 90% of the passengers were east Asian.","2024-11-11"
"1","The Worst Flight Experience I’ve Ever Had","I spent a fantastic 10-day vacation in Hong Kong with my family, but our return flight with Air France (Flight AF 185) ruined the experience. When we arrived at the check-in counter, we waited over two hours just to receive our boarding passes. Then, only an hour before the flight, they informed us that our pre-selected seats had been changed due to a ""problem."" They assured us the new seats would have extra legroom, though two out of five seats would lack screens. Since we had no other flight options, we reluctantly accepted.

Once we boarded, we discovered our original seats, which had a “problem,” were sold to other passengers—even though we booked the flight three months ago. The new seats were far from an upgrade. Two of them were actually intended for staff, with no screens, no USB ports, and awkwardly positioned in the middle of the aisle—not ideal for a 13-hour flight. Because of this awkward placement, passengers frequently stepped on my foot whenever they passed by to use the restroom. To make matters worse, a sick passenger sat next to me, and I ended up getting sick as well.

When I raised these issues with a flight attendant, I mentioned that I had paid for Sky Priority to select my seat because this was a long flight and I have sleeping problems. She dismissed my concerns, saying, “You will get refund,” and walked away while I was still speaking. The same attendant later bumped into my knee with her drink cart multiple times and even stepped on my foot without apologizing. The food was also terrible; hardly anyone around me finished half of it.

Overall, it was literally the worst flight experience I’ve ever had, and I wouldn’t recommend Air France. The lack of professionalism, poor seating arrangement, and dismissive treatment from the staff left us deeply disappointed.","2024-11-11"
"3","Really cheap flight experience","We travelled with Air France to New Delhi from Paris, both ways and i was really dissappinted with their economy services. Really bad food, uncortable seats. I felt like i was flying with a low cost company.
I don’t know if this is the case with all destinations.
Everything looked really cheap.
On our flight back, we didn’t even received water, the personel was unpolite and rude with the indian clients…
Comparing with companies, Air France was the worst experience so far.","2024-11-10"
"2","Be Mindful of your Carry-On baggage Weight and Size!","Your carry-on luggage/personal item total weight must be less than 26.4lbs. They do weigh your carry on prior to security. They are also strict with the size of your carry-on bag and will make you check your carry-on if it is too large. Don't make the same mistake we did and have to pay 140 euros at the airport because our carry-on was too large.","2024-11-10"
"1","Terrible Customer Service and Duplicate Baggage Charges – Avoid Air France!","I recently had a highly disappointing experience with Air France that I feel compelled to share. I booked an international trip through a third-party site, but my e-ticket and booking reference were issued by Air France. My itinerary included three legs:

Kunming to Shanghai (operated by China Eastern Airlines, AF5227/MU9727)
Shanghai to Paris (Air France, AF111)
Paris to New York (Air France, AF111)
Despite being on a single ticket, I was charged twice for the same two pieces of checked baggage—$270 for the first leg and $240 for the second/third legs. I understand my ticket had zero baggage allowance, but I shouldn't have to pay twice for the same baggage on an international itinerary.

I contacted Air France multiple times for a refund, but their customer service was unhelpful, insisting I contact China Eastern Airlines for the first leg, even though Air France was the ticketing carrier. This is unacceptable. Air France should take responsibility and resolve issues involving their partner airlines, not pass the burden onto their customers.

I also filed a complaint with the U.S. Department of Transportation, but to date, I’ve received no resolution from either party. This experience has left me frustrated and significantly out of pocket.

If you value clear policies and responsive customer service, I strongly recommend avoiding Air France. Their lack of accountability has been a nightmare to deal with, and I won’t be booking with them again.","2024-11-08"
"2","Nightmare","I researched for weeks and felt like I had found a good carrier with Premium Economy. Went ahead and booked probably 8 months before departure. Long story short, about one month before our departure AF moved us around which lost all our extras I had booked. Anyway, there were several things that happened that made the experience with AF miserable. I will never use them again and would never recommend them.","2024-11-07"
"1","Not the Air France I remember from previous years","The food gets worse every year and so does the service. No one came to collect garbage, so passengers started leaving it in a pile. The attendant saw it and left the pile for most of the flight.","2024-11-07"
